,age,default,balance,housing,loan,day,month,campaign,pdays,previous,y,job_blue-collar,job_entrepreneur,job_other,job_pink collar,job_self-employed,job_technician,job_white collar,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,contact_cellular,contact_telephone,contact_unknown,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown
age,1.0,-0.017879303608695087,0.09778273937134364,-0.18551308153716187,-0.01565527265662909,-0.009120045633550535,0.09290305167433942,0.004760311762455235,-0.023758014111732773,0.0012883192026639065,0.025155017088381564,-0.04400214573838041,0.02179181852959289,0.23879499580230332,-0.014959216055795714,-0.008092726378206112,-0.06863162151433952,-0.05839639998435028,0.16467428405734108,0.28625688005680217,-0.42781660794189463,0.19618186484906786,-0.09397944550276952,-0.08162943753910423,0.06966459838735731,-0.06837521103266754,0.17034902808248054,-0.020131718682961715,-0.004927037457719753,-0.02296704522497965,0.03552574426446616,-0.0008163903957838517
default,-0.017879303608695087,1.0,-0.06674505711359506,-0.006025218356244625,0.0772342410791128,0.009423899098489175,0.01498868530833547,0.01682153142226867,-0.029979361102739886,-0.01832940481655531,-0.02241896589073529,0.01034086520861502,0.026280996778395068,-0.013717040151937764,-0.00012073233435788561,0.004107473047432591,-0.0030892706086622134,-0.009136312904998228,0.017776856903347536,-0.01445962856472872,0.003115195196090488,0.001622659171145462,0.013220151081756365,-0.015239447542722797,-0.0012358737352566541,-0.010061071606812085,-0.017208037840598014,0.01993293521829795,-0.026388629460587676,-0.014445338108268249,-0.02334416448569341,0.039489829965872976
balance,0.09778273937134364,-0.06674505711359506,1.0,-0.06876831568966552,-0.08435024573118581,0.0045025851297186064,0.09460506743697415,-0.014578278850760814,0.0034353218681058817,0.016673636728357175,0.05283841028818198,-0.048756855577744035,0.009642376816187341,0.041487776504835726,-0.033159791764870036,0.017850395467206105,-0.016183263356168303,0.04076105562625855,-0.021731603529607128,0.025708074232874085,-0.012537001519128633,-0.015451479573056275,-0.06993650681785359,0.08400074671148651,0.011180511324818083,0.015879609618145565,0.037998519569530174,-0.03733072177605249,0.011856806199041893,0.008465527271539345,0.03524034169236904,-0.030270507679457825
housing,-0.18551308153716187,-0.006025218356244625,-0.06876831568966552,1.0,0.04132286604131072,-0.027981649322279097,-0.17388681136203735,-0.02359870684972217,0.12417840012013333,0.03707614970333707,-0.1391727024981962,0.17747486856417852,0.010600051436503478,-0.19595024277574866,0.02277053182549245,-0.027318952350439293,-0.012822886858607803,-0.02581996011406352,0.0017780339145812558,0.01768069436477227,-0.020475489495053893,0.010670826236473304,0.10165912859172173,-0.0991751395701257,-0.04759514446024794,-0.1560708266401961,-0.08082223206840054,0.20840860592259264,0.10679487664200656,0.039709533570185765,-0.09136026313762356,-0.06375525278251405
loan,-0.01565527265662909,0.0772342410791128,-0.08435024573118581,0.04132286604131072,1.0,0.011370157616146655,0.021638305591917473,0.009979845897750606,-0.022753638718227494,-0.01104348825127696,-0.06818503472417951,0.018291404611883517,0.039808166388444026,-0.06541273986619099,0.023017923150206034,-0.00788182047919555,0.014798106700368479,-0.012882760962093936,0.01637678308624565,0.036905560848416466,-0.05171594267798864,-0.01239572516667326,0.0706252621053791,-0.04594006788659677,-0.04999243439613122,0.013603859057952021,-0.01318318200462022,-0.007210560630094247,-0.0021858917305496626,-0.009099203932000628,-0.05371260136870152,0.031406267179340794
day,-0.009120045633550535,0.009423899098489175,0.0045025851297186064,-0.027981649322279097,0.011370157616146655,1.0,0.10198946012517983,0.16249021632614435,-0.09304407377294392,-0.05171049673580549,-0.02834777672093533,-0.02289811520372591,-0.0023119257511840362,-0.020893256868561194,-0.003827495741886707,0.005061863660584314,0.032517189744003784,0.009423930100955134,-0.0004331109972690565,0.007102369259117914,-0.007411851702372736,-0.01955121411952221,-0.0058305486528266275,0.021730463503722045,0.00011356463221928934,0.020185830683508203,0.023652235356222885,-0.03410346090700856,-0.0687001035008209,-0.03295157060205741,-0.03032067122403714,0.08625637134115209
month,0.09290305167433942,0.01498868530833547,0.09460506743697415,-0.17388681136203735,0.021638305591917473,0.10198946012517983,1.0,0.05486797659389763,-0.10893967109561845,-0.03559972416422368,0.01871703722790685,-0.08661934934890358,0.025127873347396752,-0.010452748915756642,-0.020183512246519722,0.02639640846133336,0.03785860849506389,0.04676432986537722,0.00028143887527809806,0.06292536650745928,-0.0685864675960339,-0.026488649459929348,-0.04988098850653354,0.08212050171869203,-0.01507088168665684,0.15367724025278037,0.037627530251197056,-0.18248982416922635,-0.05595810173798816,-0.06262596846966643,0.033700429887839126,0.061391348012462224
campaign,0.004760311762455235,0.01682153142226867,-0.014578278850760814,-0.02359870684972217,0.009979845897750606,0.16249021632614435,0.05486797659389763,1.0,-0.08862766791565314,-0.032855289678276556,-0.07317200634585116,0.008986249730561034,0.0021284480117247672,-0.03838402379518984,-0.002602485870455584,0.005479289782792134,0.020739365232121117,-0.00036969518777286124,-0.01548391505399625,0.03137129047977185,-0.023119848116356003,0.009615818359341586,-0.020892593551716913,0.012865902884877616,0.005703749072767865,-0.032270965181251346,0.05389502692215278,0.00485298304439117,-0.08813116291981736,-0.02010717695242074,-0.0574863893644998,0.10796520105273955
pdays,-0.023758014111732773,-0.029979361102739886,0.0034353218681058817,0.12417840012013333,-0.022753638718227494,-0.09304407377294392,-0.10893967109561845,-0.08862766791565314,1.0,0.4548196354805041,0.10362149401627622,0.020063310825232585,-0.014203221390363951,-0.002765591023298884,-0.010707549242892623,-0.01035553239208389,-0.013477571460978194,0.01186251639514974,0.002896612453799529,-0.027600379524958186,0.02794297148729272,-0.017372741959180555,0.02210507932832222,-0.007567977238784879,-0.006907055187152911,0.22599632791732166,0.01600635832156349,-0.24706799754956132,0.7010523794843007,0.3897912127124786,0.2285388865128888,-0.8699624041869379
previous,0.0012883192026639065,-0.01832940481655531,0.016673636728357175,0.03707614970333707,-0.01104348825127696,-0.05171049673580549,-0.03559972416422368,-0.032855289678276556,0.4548196354805041,1.0,0.09323577278885566,-0.01709535852553472,-0.008180631703482632,0.008063322889590292,-0.017396887024158952,-0.002370967470411101,-0.0011227391610429225,0.026712511447231344,-0.004534419187118334,-0.012690601515911464,0.017005885604490505,-0.0167052740506434,-0.005603327579466985,0.022887559815469995,-0.00825734032863717,0.13171670802526825,0.02809665002142706,-0.1541622551573767,0.3506267346608484,0.30661522137241715,0.20142400926015605,-0.5327628069522209
