Entity,Region,ID
Afghanistan,Asia,AFG
Albania,Europe,ALB
Algeria,Africa,DZA
Andorra,Europe,AND
Angola,Africa,AGO
Antigua and Barbuda,America,ATG
Argentina,America,ARG
Armenia,Europe,ARM
Australia,Asia,AUS
Austria,Europe,AUT
Azerbaijan,Europe,AZE
Bahamas,America,BHS
Bahrain,Asia,BHR
Bangladesh,Asia,BGD
Barbados,America,BRB
Belarus,Europe,BLR
Belgium,Europe,BEL
Belize,America,BLZ
Benin,Africa,BEN
Bhutan,Asia,BTN
Bolivia,America,BOL
Bosnia and Herzegovina,Europe,BIH
Botswana,Africa,BWA
Brazil,America,BRA
Brunei,Asia,BRN
Bulgaria,Europe,BGR
Burkina Faso,Africa,BFA
Burundi,Africa,BDI
Cambodia,Asia,KHM
Cameroon,Africa,CMR
Canada,America,CAN
Cape Verde,Africa,CPV
Central African Republic,Africa,CAF
Chad,Africa,TCD
Chile,America,CHL
China,Asia,CHN
Colombia,America,COL
Comoros,Africa,COM
"Congo, Dem. Rep.",Africa,COD
"Congo, Rep.",Africa,COG
Costa Rica,America,CRI
Cote d'Ivoire,Africa,CIV
Croatia,Europe,HRV
Cuba,America,CUB
Cyprus,Europe,CYP
Czech Republic,Europe,CZE
Denmark,Europe,DNK
Djibouti,Africa,DJI
Dominica,America,DMA
Dominican Republic,America,DOM
Ecuador,America,ECU
Egypt,Africa,EGY
El Salvador,America,SLV
Equatorial Guinea,Africa,GNQ
Eritrea,Africa,ERI
Estonia,Europe,EST
Ethiopia,Africa,ETH
Fiji,Asia,FJI
Finland,Europe,FIN
France,Europe,FRA
Gabon,Africa,GAB
Gambia,Africa,GMB
Georgia,Europe,GEO
Germany,Europe,DEU
Ghana,Africa,GHA
Greece,Europe,GRC
Grenada,America,GRD
Guatemala,America,GTM
Guinea,Africa,GIN
Guinea-Bissau,Africa,GNB
Guyana,America,GUY
Haiti,America,HTI
Holy See,Europe,HOS
Honduras,America,HND
Hungary,Europe,HUN
Iceland,Europe,ISL
India,Asia,IND
Indonesia,Asia,IDN
Iran,Asia,IRN
Iraq,Asia,IRQ
Ireland,Europe,IRL
Israel,Asia,ISR
Italy,Europe,ITA
Jamaica,America,JAM
Japan,Asia,JPN
Jordan,Asia,JOR
Kazakhstan,Asia,KAZ
Kenya,Africa,KEN
Kiribati,Asia,KIR
North Korea,Asia,PRK
South Korea,Asia,KOR
Kuwait,Asia,KWT
Kyrgyz Republic,Asia,KGZ
Lao,Asia,LAO
Latvia,Europe,LVA
Lebanon,Asia,LBN
Lesotho,Africa,LSO
Liberia,Africa,LBR
Libya,Africa,LBY
Liechtenstein,Europe,LIE
Lithuania,Europe,LTU
Luxembourg,Europe,LUX
"Macedonia, FYR",Europe,MKD
Madagascar,Africa,MDG
Malawi,Africa,MWI
Malaysia,Asia,MYS
Maldives,Asia,MDV
Mali,Africa,MLI
Malta,Europe,MLT
Marshall Islands,Asia,MHL
Mauritania,Africa,MRT
Mauritius,Africa,MUS
Mexico,America,MEX
"Micronesia, Fed. Sts.",Asia,FSM
Moldova,Europe,MDA
Monaco,Europe,MCO
Mongolia,Asia,MNG
Montenegro,Europe,MNE
Morocco,Africa,MAR
Mozambique,Africa,MOZ
Myanmar,Asia,MMR
Namibia,Africa,NAM
Nauru,Asia,NRU
Nepal,Asia,NPL
Netherlands,Europe,NLD
New Zealand,Asia,NZL
Nicaragua,America,NIC
Niger,Africa,NER
Nigeria,Africa,NGA
Niue,Asia,NIU
Norway,Europe,NOR
Oman,Asia,OMN
Pakistan,Asia,PAK
Palau,Asia,PLW
Panama,America,PAN
Papua New Guinea,Asia,PNG
Paraguay,America,PRY
Peru,America,PER
Philippines,Asia,PHL
Poland,Europe,POL
Portugal,Europe,PRT
Qatar,Asia,QAT
Romania,Europe,ROU
Russia,Europe,RUS
Rwanda,Africa,RWA
St. Kitts and Nevis,America,KNA
St. Lucia,America,LCA
St. Vincent and the Grenadines,America,VCT
Samoa,Asia,WSM
San Marino,Europe,SMR
Sao Tome and Principe,Africa,STP
Saudi Arabia,Asia,SAU
Senegal,Africa,SEN
Serbia,Europe,SRB
Seychelles,Africa,SYC
Sierra Leone,Africa,SLE
Singapore,Asia,SGP
Slovak Republic,Europe,SVK
Slovenia,Europe,SVN
Solomon Islands,Asia,SLB
Somalia,Africa,SOM
South Africa,Africa,ZAF
Spain,Europe,ESP
Sri Lanka,Asia,LKA
Sudan,Africa,SDN
Suriname,America,SUR
Swaziland,Africa,SWZ
Sweden,Europe,SWE
Switzerland,Europe,CHE
Syria,Asia,SYR
Tajikistan,Asia,TJK
Tanzania,Africa,TZA
Thailand,Asia,THA
Timor-Leste,Asia,TLS
Togo,Africa,TGO
Tonga,Asia,TON
Trinidad and Tobago,America,TTO
Tunisia,Africa,TUN
Turkey,Europe,TUR
Turkmenistan,Asia,TKM
Tuvalu,Asia,TUV
Uganda,Africa,UGA
Ukraine,Europe,UKR
United Arab Emirates,Asia,ARE
United Kingdom,Europe,GBR
United States,America,USA
Uruguay,America,URY
Uzbekistan,Asia,UZB
Vanuatu,Asia,VUT
Venezuela,America,VEN
Palestine,Asia,PSE
Vietnam,Asia,VNM
Yemen,Asia,YEM
Zambia,Africa,ZMB
Zimbabwe,Africa,ZWE
South Sudan,Africa,SDS
Palestine,Europe,PSE
