id,galaxySentiment,iphoneSentiment
0,0,0
1,0,80
2,0,0
3,0,-60
4,0,0
5,0,0
6,0,0
7,10,0
8,0,10
9,0,21
10,0,0
11,0,0
12,0,110
13,0,20
14,0,21
15,0,0
16,0,2
17,0,0
18,0,0
19,0,0
20,0,-20
21,0,-40
22,0,0
23,0,0
24,0,-10
25,0,1
26,0,0
27,0,0
28,-20,-20
29,10,0
30,0,0
31,10,0
32,0,0
33,0,10
34,0,0
35,10,10
36,0,22
37,0,0
38,0,0
39,0,0
40,0,10
41,10,0
42,0,0
43,0,0
44,0,-5
45,0,0
46,0,0
47,-9,0
48,0,0
49,0,0
50,0,1
51,0,1
52,10,0
53,0,1
54,0,0
55,0,1
56,0,7
57,0,0
58,0,0
59,0,1
60,0,37
61,10,0
62,0,0
63,-10,-20
64,20,20
65,0,-10
66,0,1
67,0,0
68,0,0
69,0,3
70,0,-10
71,10,0
72,0,0
73,0,0
74,0,0
75,0,-19
76,0,-10
77,0,0
78,0,21
79,0,0
80,0,0
81,10,0
82,0,10
83,2,2
84,0,134
85,0,0
86,0,0
87,10,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,-30
95,0,-20
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,40,0
102,40,0
103,0,0
104,10,0
105,40,0
106,10,0
107,0,0
108,10,0
109,0,0
110,-77,0
111,0,12
112,0,0
113,40,0
114,0,0
115,1,0
116,-50,0
117,0,0
118,0,-10
119,0,15
120,-40,0
121,-10,0
122,30,0
123,0,10
124,0,-10
125,10,0
126,0,2
127,-40,0
128,-40,0
129,0,0
130,-40,0
131,0,0
132,40,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,-60,0
140,10,0
141,10,0
142,0,0
143,0,-19
144,60,54
145,30,0
146,40,0
147,41,0
148,0,0
149,0,0
150,0,0
151,0,1
152,0,0
153,10,0
154,0,0
155,30,0
156,10,0
157,0,0
158,0,11
159,10,0
160,0,-10
161,-40,0
162,0,0
163,0,0
164,2,0
165,0,20
166,0,-19
167,0,10
168,0,0
169,40,0
170,1,0
171,0,0
172,0,0
173,41,0
174,-40,0
175,-10,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,20
182,0,10
183,0,0
184,10,0
185,0,0
186,1,0
187,1,0
188,0,0
189,0,-20
190,1,0
191,0,0
192,0,0
193,10,0
194,0,10
195,10,0
196,40,0
197,11,0
198,20,0
199,-40,0
200,0,0
201,0,41
202,0,0
203,0,1
204,0,190
205,-10,0
206,30,0
207,0,0
208,0,0
209,0,1
210,0,0
211,0,0
212,0,-10
213,-10,0
214,10,0
215,0,-10
216,0,23
217,10,0
218,10,0
219,1,0
220,10,0
221,30,0
222,0,4
223,30,0
224,0,0
225,40,0
226,10,0
227,0,-20
228,-54,-174
229,1,0
230,-40,0
231,0,10
232,0,0
233,0,10
234,0,30
235,0,0
236,0,20
237,0,1
238,0,0
239,0,0
240,0,0
241,0,10
242,0,0
243,0,0
244,0,0
245,0,20
246,0,0
247,0,10
248,0,-50
249,0,0
250,0,0
251,0,0
252,0,0
253,0,10
254,0,0
255,0,0
256,0,0
257,0,-20
258,0,0
259,0,0
260,0,-9
261,0,2
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,10
272,0,0
273,0,0
274,0,100
275,0,10
276,0,0
277,0,10
278,0,0
279,0,0
280,0,11
281,0,0
282,0,10
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,11
292,0,0
293,0,0
294,0,20
295,0,0
296,0,0
297,0,-10
298,0,0
299,0,-10
300,0,0
301,0,-10
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,-30
309,0,0
310,10,0
311,0,0
312,0,-9
313,0,0
314,0,-20
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,-30
323,0,-20
324,0,66
325,0,0
326,0,0
327,0,0
328,0,0
329,0,10
330,0,1
331,0,10
332,0,0
333,-10,0
334,30,0
335,0,0
336,0,0
337,0,12
338,30,0
339,-20,0
340,0,0
341,10,0
342,0,1
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,41,0
349,0,11
350,0,10
351,10,0
352,0,0
353,1,0
354,30,0
355,0,0
356,10,0
357,40,0
358,0,0
359,0,0
360,0,0
361,0,0
362,-20,0
363,10,0
364,0,30
365,-38,0
366,-10,0
367,0,0
368,0,0
369,0,30
370,0,-10
371,0,-10
372,0,0
373,0,0
374,0,0
375,-10,0
376,0,0
377,1,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,-20
386,-10,0
387,120,0
388,0,0
389,0,0
390,0,30
391,0,10
392,0,0
393,0,-10
394,0,0
395,0,0
396,0,22
397,0,0
398,40,0
399,0,0
400,10,0
401,0,10
402,10,0
403,0,0
404,40,0
405,-20,0
406,0,0
407,0,10
408,0,0
409,-20,0
410,0,0
411,0,0
412,0,0
413,0,0
414,1,0
415,0,0
416,0,-10
417,0,1
418,0,0
419,0,0
420,0,10
421,0,0
422,0,1
423,0,12
424,0,2
425,0,0
426,0,11
427,0,13
428,10,0
429,0,0
430,0,1
431,0,10
432,0,0
433,0,-10
434,0,0
435,0,50
436,0,0
437,0,10
438,0,0
439,0,0
440,10,0
441,0,0
442,0,22
443,0,0
444,0,-4
445,0,0
